Business Name,Industry,City,State,ZIP,Street Address,Website,LinkedIn,Employees,Est. Revenue,US Locations,What They Do,Source,Verification Status
Ambrosetti Construction,Construction,Chattanooga,TN,37415,5571 Dayton Boulevard,ambrosetticonstruction.com,https://www.linkedin.com/company/ambrosetti-construction,1-10,1M-5M,1,"Ambrosetti Construction LLC is a general contracting company that serves residential and commercial clients with construction and remodeling services. The company handles full new home construction, room additions, and whole-home renovations. It also manages kitchen and bathroom remodels, interior u","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Anchor Tours,Truck Transportation,Chattanooga,TN,37407,2401 4Th Avenue,anchortours.com,https://www.linkedin.com/company/anchor-tours,11-50,1M-5M,1,,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
"Apex Electric Co., Inc.",Construction,Chattanooga,TN,37407,3007 Calhoun Avenue,apexelectriccompany.com,https://www.linkedin.com/company/apex-electric-company-inc,11-50,1M-5M,1,"Apex Electric Company Inc is an electrical contracting company located in Chattanooga, Tennessee, United States.","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
APPALACHIAN LAND DESIGN INC.,Facilities Services,Chattanooga,TN,37421,8921 Potomac Drive,appalachianlanddesign.com,https://www.linkedin.com/company/appalachian-land-design-inc.,11-50,1M-5M,1,"Complete landscaping and design services in Chattanooga, TN and surrounding areas. Appalachian Land Design is a full service landscape company that specializes in landscaping for residential and commercial accounts.","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
ARC Remodeling,Construction,Chattanooga,TN,37421,,accessremodeling.com,https://www.linkedin.com/company/arc-remodeling,1-10,1M-5M,1,,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Architectural Exchange,Construction,Chattanooga,TN,37404,1300 Mccallie Avenue,architecturalexchangestore.com,https://www.linkedin.com/company/architectural-exchange,11-50,1M-5M,1,"Architectural Exchange is a construction company based out of 1300 MCCALLIE AVE, Chattanooga, Tennessee, United States.","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
"Architectural Surfaces, LLC",Construction,Chattanooga,TN,37406,,architecturalsurfaces.com,https://www.linkedin.com/company/architectural-surfaces-llc,51-200,10M-25M,1,"Architectural Surfaces delivers custom architectural millwork, casework, and metalwork with precision, craftsmanship, and attention to detail. Our in-house capabilities also include the fabrication of custom countertops, moldings, and exterior decorative components - allowing us to provide cohesive,","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Arke Technology,Truck Transportation,Chattanooga,TN,37408,224 East Main,arketechnology.com,https://www.linkedin.com/company/arketechnology,1-10,1M-5M,1,"Here at Arke Technology we will put your data to use, providing valuable insights into driver behavior to help you retain your most important assets. Utilizing various IoT devices, we can detect root causes to key issues, develop predictive insights, and provide valuable alerts to our customers. Wit","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Armor Xteriors,Construction,Chattanooga,TN,37421,7401 East Brainerd Road 150,armorxteriors.com,https://www.linkedin.com/company/armorxteriors,11-50,1M-5M,1,"Armor Xteriors is Chattanoogas trusted, locally owned licensed general contractor specializing in roofing, siding, replacement windows, doors, and custom deck construction. Serving Chattanooga and the surrounding areas, we deliver full-service exterior remodeling designed to protect your home, impro","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Atlas Bolt & Supply Inc.,Wholesale Building Materials,Chattanooga,TN,37407,3217 Rossville Boulevard,atlasbolt.com,https://www.linkedin.com/company/atlas-bolt-&-supply-inc,11-50,10M-25M,1,"Building Chattanooga for Over 50 Years. Atlas Bolt and Supply is a company based out of Chattanooga, Tennessee. We are located at 3217 Rossville Blvd Chattanooga, TN 37407. Contact us at (423) 265-2341 or sales@atlasboltco.com Now You're Ready!","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Ballard Lighting,Construction,Chattanooga,TN,37415,5210 Dayton Boulevard,ballardlightingco.com,https://www.linkedin.com/company/ballard-lighting,11-50,1M-5M,1,"Ballard Lighting is wholesale supplier specializing a multifamily and hospitality lighting. Our company is built on the foundation of integrity, customer service and complete dedication to your project's success. Please visit our website to learn more.","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Basement and Crawlspace Solutions,Facilities Services,Chattanooga,TN,37415,5957 Dayton Boulevard,basementandcrawlspacesolutions.com,https://www.linkedin.com/company/basement-and-crawlspace-solutions,11-50,1M-5M,1,Chattanoogas Local Basement Waterproofing Experts,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Bella Pietra Surfaces International,Wholesale Building Materials,Chattanooga,TN,37406,1309 Appling Street,bellapietrasurfaces.com,https://www.linkedin.com/company/bella-pietra-surfaces-international,1-10,1M-5M,1,Natural Stone and Quartz Distributer,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Berry Construction,Construction,Chattanooga,TN,,,berryhutton.com,https://www.linkedin.com/company/berry-hutton-construction,51-200,10M-25M,1,"Originally founded and licensed in 1992 in the state of Tennessee and continually expanding to 44 States and Puerto Rico, Berry Construction Co., Inc. (Berry Hutton Construction), is a full-service, large-scale general contractor with a wide range of projects in the commercial, corporate, industrial","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Bessette Painting,Construction,Chattanooga,TN,37407,3905 16Th Avenue,bessetteart.com,https://www.linkedin.com/company/bessette-painting,11-50,1M-5M,1,,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Best Way Lawn Care,Construction,Chattanooga,TN,37406,1407 Arlington Avenue,bestwaylawncare.com,https://www.linkedin.com/company/best-way-lawn-care,1-10,1M-5M,2,"Bestway is a top notch commercial and residential lawn care provider focusing on Tampa Bay area including Clearwater, St. Petersburg and Tampa. Everything from lawn care to yard clean up, mulching, sod installation, landscaping, lawn maintenance shrub and hedge trimming they are the experts!","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Big Buck Construction,Construction,Chattanooga,TN,37421,7506 East Brained Road,bigbuckconstruction.com,https://www.linkedin.com/company/big-buck-construction,1-10,1M-5M,1,"At Big Buck Construction, we treat your home as if it was our own. Whether we are working on a brand new construction piece or remodeling a home you already own, we put our heart and soul into making your home the perfect sanctuary.","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Big Sky Landscapes,Landscaping Services,Chattanooga,TN,37407,1406 East 51St Street,bigskylandscapes.com,https://www.linkedin.com/company/big-sky-landscapes,51-200,10M-25M,1,"Big Sky Landscapes was born out of a simple but powerful realization: the landscaping industry needed a higher standard. After spending a few years in Montana and returning to Chattanooga to support his family, Luke Bowling, our founder, recognized a gap in the industry. Customers were grateful for ","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
BITA Standards Council (BITA),Truck Transportation,Chattanooga,TN,37402,405 Cherry Street,gbbc.io,https://www.linkedin.com/company/bita-standards-council,51-200,10M-25M,1,BITA Standards Council (BITA) is GBBCs global transportation and commerce initiative. GBBCs BITA initiative consists of global companies with a shared vision to leverage blockchain technology to define and grow open-source supply chain standards. The initiative's member-companies will continue to co,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
